OrderID,CustomerID,ShippingAddressID,ShippingCompanyID,OrderDate,OrderStatus,TotalAmount
1,3364,6728,4,10/21/2024,Cancelled,0
2,4157,8317,3,9/16/2024,Delivered,7691.15
3,1620,3279,5,5/18/2022,Delivered,348.88
4,4207,8408,4,9/1/2023,Pending,3336.6
5,1072,2167,1,10/6/2023,Return Requested,2717.37
6,258,527,2,12/28/2023,Cancelled,0
7,2327,4666,4,12/26/2023,Cancelled,0
8,3041,6087,5,12/15/2023,Shipped,8850.83
9,810,1651,5,4/13/2024,DELIVERED,8136.56
10,2078,4184,5,12/11/2021,DELIVERED,10711.55
11,1700,3433,2,5/4/2021,Delivered,1088.92
12,3014,6022,4,7/12/2023,DELIVERED,5091.97
13,2684,5386,6,11/28/2021,Cancelled,0
14,3945,7875,2,6/21/2021,pending,406.08
15,100,217,2,8/1/2023,DELIVERED,2662.72
16,3790,7567,2,4/24/2022,Delivered,6089
17,2883,5771,1,5/22/2022,Pending,367.1
18,1135,2298,4,7/3/2022,Return Requested,2426.11
19,1651,3341,6,2/17/2020,pending,7816.12
20,1843,3718,3,6/22/2022,Delivered,6562.05
21,4532,9053,1,4/3/2025,Delivered,2684.27
22,220,460,4,11/26/2021,pending,7091.72
23,4275,8544,2,9/12/2021,DELIVERED,9722.69
24,1868,3771,6,5/6/2025,DELIVERED,127.66
25,986,1995,4,5/27/2024,Cancelled,0
26,2140,4301,1,9/23/2024,Pending,9679.54
27,4993,9937,5,5/10/2023,Return Requested,8392.77
28,4530,9050,5,3/14/2024,pending,4115.99
29,4147,8290,2,4/9/2020,Delivered,1907.98
30,1891,3815,5,3/16/2023,Return Requested,11488.7
31,3231,6467,4,10/28/2021,Pending,4072.3
32,579,1174,5,12/28/2021,Delivered,1158.31
33,3442,6877,1,1/13/2022,Shipped,1205.76
34,3563,7118,1,8/20/2022,Pending,10177.56
35,1650,3339,2,10/27/2022,Return Requested,7264.53
36,1408,2829,1,9/26/2022,Delivered,9695.18
37,801,1632,1,5/1/2024,pending,8770.29
38,495,992,4,1/31/2023,Delivered,6457.93
39,2624,5264,3,5/19/2021,Return Requested,11678.73
40,2756,5528,5,3/7/2024,Pending,4573.49
