ProductID,DepartmentID,ProductCode,ProductName,Description,UnitPrice,Brand,ManufacturingDate
1,3,P000001,Samsung Galaxy S24 Ultra 1,Samsung Galaxy S24 Ultra product sold in Saudi Arabia,4461.69,Samsung,11/7/2025
2,5,P000002,LG OLED C4 TV 2,LG OLED C4 TV television sold in Saudi Arabia,11568.31,LG,2/15/2019
3,5,P000003,Lenovo ThinkPad X1 Carbon 3,Lenovo ThinkPad X1 Carbon laptop sold in Saudi Arabia,9888.16,Lenovo,7/20/2020
4,1,P000004,Apple iPhone 15 Pro 4,Apple iPhone 15 Pro smartphone sold in Saudi Arabia,10325.34,Apple,3/30/2018
5,3,P000005,Canon EOS R5 Camera 5,Canon EOS R5 Camera camera sold in Saudi Arabia,11633.38,Canon,7/26/2018
6,3,P000006,Nike Air Force 1 Shoes 6,Nike Air Force 1 Shoes footwear sold in Saudi Arabia,668.75,Nike,12/30/2025
7,2,P000007,Huawei Pura 70 Pro 7,Huawei Pura 70 Pro product sold in Saudi Arabia,5479.12,Huawei,3/18/2024
8,4,P000008,Philips Sonicare Electric Toothbrush 8,Philips Sonicare Electric Toothbrush personal care product sold in Saudi Arabia,5480.67,Philips,10/1/2016
9,4,P000009,HP Spectre x360 Laptop 9,HP Spectre x360 Laptop laptop sold in Saudi Arabia,6246.88,HP,4/12/2024
10,4,P000010,Dell XPS 13 Laptop 10,Dell XPS 13 Laptop laptop sold in Saudi Arabia,11582.65,Dell,8/2/2018
11,3,P000011,HP Envy x360 Laptop 11,HP Envy x360 Laptop laptop sold in Saudi Arabia,2300.19,HP,12/30/2022
12,3,P000012,Philips Shaver Series 12,Philips Shaver Series personal care product sold in Saudi Arabia,2079.98,Philips,4/12/2022
13,5,P000013,Adidas Ultraboost Running Shoes 13,Adidas Ultraboost Running Shoes footwear sold in Saudi Arabia,729.66,Adidas,6/11/2020
14,5,P000014,Huawei Mate 60 Pro 14,Huawei Mate 60 Pro product sold in Saudi Arabia,9296.58,Huawei,7/10/2022
15,5,P000015,Dell XPS 15 Laptop 15,Dell XPS 15 Laptop laptop sold in Saudi Arabia,1049.69,Dell,11/4/2023
16,5,P000016,Sony Alpha A7 IV Camera 16,Sony Alpha A7 IV Camera camera sold in Saudi Arabia,6662.36,Sony,3/25/2017
17,3,P000017,Philips Shaver Series 17,Philips Shaver Series personal care product sold in Saudi Arabia,6740.4,Philips,6/4/2025
