ProductID,SupplierID,Availability,AgreementPrice
1,91,available,4680.81
1,69,Out of Stock,8934.19
1,8,available,8558.13
2,156,Available,2091.59
2,173,Available,8890.07
2,220,Available,4029.7
3,143,Out of Stock,5799.21
3,53,Out of Stock,3061.09
3,104,Out of Stock,1733.87
3,113,Out of Stock,6774.11
3,58,available,2895.64
4,106,Out of Stock,8051.86
5,217,Available,2466.78
6,238,Out of Stock,6707.1
6,239,Out of Stock,1139.08
6,151,Limited,6093.15
6,197,Available,7289.38
7,81,Limited,2438.11
7,53,OUT OF STOCK,4989.03
8,24,available,6767.78
8,47,available,2168.8
8,7,Out of Stock,904.73
9,31,OUT OF STOCK,4610.04
10,12,Out of Stock,3866.58
10,60,Limited,377.54
11,77,Out of Stock,6161.08
11,96,available,7530.59
11,27,Available,1515.08
11,156,Limited,1924.43
11,129,OUT OF STOCK,5206.33
12,59,Limited,8979.24
12,160,Limited,6469.51
12,69,Out of Stock,7825.23
13,31,OUT OF STOCK,7425.23
13,139,OUT OF STOCK,6536
13,89,OUT OF STOCK,1315.63
14,204,Out of Stock,1819.75
14,78,Limited,8649.51
14,157,OUT OF STOCK,8544.17
14,130,Available,1678.82
14,35,Available,2319.35
15,13,available,8091.27
15,217,Out of Stock,5191.75
15,220,available,5574.45
15,34,available,3863.44
15,223,OUT OF STOCK,3014.09
16,77,Out of Stock,3490.98
16,159,OUT OF STOCK,5176.69
16,38,Out of Stock,7082.06
16,203,Available,4949.2
17,204,Limited,8131.97
17,226,OUT OF STOCK,8029.63
18,121,Limited,6207.05
18,44,Available,3488.22
18,78,available,4788.9
18,61,Limited,1632.76
19,150,available,1902.43
20,149,Out of Stock,2091.22
21,156,Available,7752.1
21,157,Out of Stock,4418.47
21,224,Out of Stock,6724.6
21,78,Limited,23.94
22,16,Out of Stock,3500.28
22,82,OUT OF STOCK,2872.13
22,139,Available,1814.7
22,37,available,4858.8
22,35,Limited,5540.08
23,52,OUT OF STOCK,1262.93
24,86,OUT OF STOCK,8813.57
24,105,Available,2987.86
24,179,OUT OF STOCK,7638.28
24,78,available,3234.37
25,11,Available,5753.59
25,123,OUT OF STOCK,1187.31
25,9,available,5945.06
25,133,available,3550.06
25,131,Available,1444.75
26,246,available,8796.23
26,71,Out of Stock,4274.74
26,51,OUT OF STOCK,8384.55
27,96,Limited,2530.82
27,112,Out of Stock,4424.31
28,164,OUT OF STOCK,2102.71
28,91,available,8338.85
28,183,Available,4028.55
29,95,Available,8391.57
29,15,Available,3529.59
30,65,Available,7616.53
30,245,Limited,7029.32
30,193,OUT OF STOCK,6402.32
31,167,available,7985.32
31,239,Limited,439.09
31,140,Available,8708.7
32,245,Out of Stock,6857.05
33,2,OUT OF STOCK,7658.61
33,220,Limited,8237.27
34,215,Limited,1461.83
34,188,available,5147.1
34,142,available,4771.02
34,52,available,3307.51
34,191,Out of Stock,7458
35,10,available,222.27
35,48,available,3296.42
35,186,available,2100.57
35,181,OUT OF STOCK,8338.25
36,46,Available,3283.45
36,118,Limited,4756.62
