CustomerID,ProductID,Rating,Comment,ReviewDate
360,1252,1,Excellent,1/28/2025
3888,854,1,Not satisfied,12/7/2025
3001,437,4,Great product,7/12/2025
2715,696,3,Average quality,10/11/2024
3179,147,3,Great product,7/15/2025
232,159,3,Not satisfied,11/27/2024
3563,629,2,Excellent,8/24/2025
25,1052,2,Good value,3/29/2026
1759,1766,3,Excellent,3/19/2025
3921,718,5,Excellent,4/5/2026
2170,456,4,Average quality,8/13/2024
91,1159,4,Good value,1/14/2026
2612,1428,4,Excellent,7/31/2025
1462,417,3,Not satisfied,10/11/2025
4516,1866,4,Good value,6/10/2024
244,352,2,Great product,4/10/2026
3945,494,5,Average quality,12/16/2024
3446,269,3,Not satisfied,8/31/2025
509,1999,5,Not satisfied,8/7/2025
2578,1296,3,Fast delivery in Saudi Arabia,4/28/2026
357,1886,3,Not satisfied,9/21/2025
3317,1379,5,Fast delivery in Saudi Arabia,7/30/2024
534,1798,1,Fast delivery in Saudi Arabia,12/11/2024
2884,1288,3,Good value,5/15/2026
718,1776,2,Excellent,3/28/2026
2962,1252,2,Excellent,8/15/2025
2337,1491,4,Not satisfied,7/15/2024
4003,257,3,Average quality,9/4/2025
3406,1854,2,Great product,1/15/2025
1991,1857,3,Fast delivery in Saudi Arabia,9/27/2024
4106,731,2,Excellent,1/21/2026
3000,617,1,Great product,9/5/2024
1448,54,3,Not satisfied,4/7/2025
4544,1643,5,Great product,6/28/2024
4366,1949,1,Good value,3/31/2026
4361,1005,4,Not satisfied,10/28/2024
1433,1752,1,Fast delivery in Saudi Arabia,8/14/2024
4582,279,3,Fast delivery in Saudi Arabia,8/14/2025
1499,265,5,Excellent,7/5/2024
1783,405,1,Good value,9/30/2024
3120,1481,1,Good value,3/15/2026
1113,1239,4,Fast delivery in Saudi Arabia,3/17/2026
4598,1691,5,Fast delivery in Saudi Arabia,1/15/2026
681,697,5,Average quality,1/10/2026
282,1304,2,Fast delivery in Saudi Arabia,10/4/2025
2097,385,4,Excellent,10/19/2025
2621,1822,1,Good value,6/12/2024
4935,188,5,Fast delivery in Saudi Arabia,3/10/2026
709,1494,4,Average quality,7/3/2025
2434,1786,2,Not satisfied,5/21/2024
3519,1804,5,Excellent,8/2/2024
1599,1826,4,Good value,12/8/2024
4953,47,1,Fast delivery in Saudi Arabia,11/24/2024
2846,827,3,Good value,7/31/2025
1614,609,4,Great product,7/3/2025
2812,986,5,Excellent,8/7/2024
4295,619,5,Not satisfied,12/9/2025
1291,1960,3,Average quality,4/3/2026
1145,964,5,Fast delivery in Saudi Arabia,2/4/2025
3112,1919,5,Not satisfied,9/22/2025
2891,234,1,Great product,11/18/2025
2672,1647,3,Fast delivery in Saudi Arabia,4/12/2026
3129,152,4,Fast delivery in Saudi Arabia,6/18/2024
3564,630,4,Excellent,1/19/2025
776,1560,4,Average quality,1/12/2026
1987,1927,2,Great product,12/7/2025
3348,555,1,Not satisfied,11/20/2025
2149,35,5,Not satisfied,10/16/2025
4138,96,1,Excellent,10/4/2024
4740,1968,2,Fast delivery in Saudi Arabia,7/30/2025
4524,1749,5,Average quality,3/30/2025
3973,38,4,Good value,4/18/2025
2563,1632,1,Not satisfied,12/15/2025
2158,1951,1,Average quality,7/3/2025
815,1026,2,Excellent,12/6/2024
1189,81,1,Average quality,1/13/2025
1579,687,4,Excellent,12/6/2024
2503,103,3,Average quality,9/29/2024
4377,126,1,Average quality,11/20/2024
3388,1343,5,Fast delivery in Saudi Arabia,3/15/2026
4322,1384,2,Good value,1/1/2025
4676,541,5,Excellent,3/24/2026
1000,830,3,Not satisfied,2/28/2025
4453,1706,3,Good value,12/20/2025
371,1384,2,Average quality,1/9/2025
1274,706,2,Fast delivery in Saudi Arabia,2/10/2026
3022,1389,3,Good value,10/21/2025
555,343,1,Great product,4/5/2026
2365,1584,2,Great product,5/26/2025
1038,1045,5,Average quality,4/16/2025
1413,1854,3,Good value,11/13/2025
1394,918,4,Great product,8/5/2024
3100,213,2,Average quality,5/18/2025
584,763,4,Good value,10/31/2024
2926,1648,3,Good value,11/23/2024
2194,30,3,Excellent,3/6/2026
4725,1804,5,Good value,4/14/2026
4357,496,4,Good value,10/5/2024
2969,445,1,Not satisfied,9/16/2024
43,404,1,Great product,8/1/2025
322,308,2,Excellent,11/30/2025
3405,649,4,Fast delivery in Saudi Arabia,2/18/2025
1327,1729,2,Great product,10/4/2025
2296,149,1,Not satisfied,7/4/2025
2026,1406,2,Not satisfied,4/27/2025
3834,1279,2,Not satisfied,7/24/2025
1387,1527,4,Fast delivery in Saudi Arabia,9/15/2025
1764,1264,2,Excellent,10/17/2025
2962,776,4,Great product,11/29/2025
2566,1173,3,Good value,12/8/2024
3448,115,5,Average quality,4/14/2025
293,17,1,Excellent,11/1/2024
4616,87,4,Excellent,9/24/2024
4579,1759,4,Good value,6/28/2024
1243,603,3,Excellent,10/9/2024
4384,1569,3,Excellent,10/8/2025
569,1240,1,Average quality,5/16/2025
510,1090,3,Good value,11/15/2025
306,932,2,Excellent,3/6/2025
186,394,2,Excellent,2/14/2026
2890,853,4,Not satisfied,12/30/2024
1394,771,4,Average quality,3/2/2025
4686,630,3,Average quality,10/22/2025
2672,1311,3,Not satisfied,9/5/2025
976,473,3,Average quality,11/19/2024
2314,1524,1,Fast delivery in Saudi Arabia,10/26/2025
102,269,2,Fast delivery in Saudi Arabia,8/22/2025
3303,375,2,Good value,10/6/2025
1042,1940,3,Excellent,7/14/2024
653,665,4,Average quality,8/26/2025
4017,1205,4,Fast delivery in Saudi Arabia,12/29/2024
2816,228,3,Good value,8/26/2024
802,856,4,Excellent,12/13/2025
4813,1627,3,Great product,10/26/2024
2766,357,3,Fast delivery in Saudi Arabia,3/12/2026
4434,1899,4,Good value,8/21/2024
4033,1468,4,Good value,1/29/2025
1223,1375,1,Fast delivery in Saudi Arabia,9/15/2025
4743,871,2,Excellent,3/16/2026
3509,1308,1,Great product,3/7/2025
771,44,1,Great product,1/28/2026
207,1619,3,Good value,5/22/2024
3100,361,5,Average quality,1/25/2025
542,1595,1,Average quality,9/14/2024
1273,1673,2,Average quality,2/18/2026
1127,756,5,Average quality,2/21/2026
3920,1140,2,Not satisfied,5/19/2025
4070,1384,2,Fast delivery in Saudi Arabia,7/7/2025
4696,1016,3,Good value,1/7/2025
3747,100,3,Fast delivery in Saudi Arabia,3/17/2026
989,1590,2,Fast delivery in Saudi Arabia,11/8/2025
2681,1662,4,Fast delivery in Saudi Arabia,6/23/2025
3268,1616,4,Average quality,4/28/2026
3410,274,3,Fast delivery in Saudi Arabia,3/25/2025
2142,823,4,Great product,10/1/2025
1698,1115,2,Good value,12/10/2025
2077,247,3,Good value,2/24/2025
678,1409,4,Excellent,8/4/2024
2528,1376,4,Fast delivery in Saudi Arabia,4/26/2026
