SupplierID,SupplierName,Phone,City
1,Saudi Home Goods 1,+966583371241,Mecca
2,Saudi Home Goods 2,+966545072894,Jeddah
3,Khobar Accessories Trading 3,+966554759312,Tabuk
4,Riyadh Tech Trading 4,+966538821684,Hail
5,Mecca Wholesale Market 5,+966584401329,Dammam
6,Khobar Accessories Trading 6,+966521340669,Tabuk
7,Dammam Electronics Co 7,+966511679635,Taif
8,Mecca Wholesale Market 8,+966558944319,Abha
9,Riyadh Tech Trading 9,+966587071926,Tabuk
10,Jeddah Fashion Supply 10,+966577180909,Al Ahsa
11,Khobar Accessories Trading 11,+966520794977,Tabuk
12,Riyadh Tech Trading 12,+966535968972,Khobar
13,Jeddah Fashion Supply 13,+966548486327,Najran
14,Saudi Home Goods 14,+966520418644,Jazan
15,Saudi Home Goods 15,+966576024941,Yanbu
16,Mecca Wholesale Market 16,+966516137482,Jeddah
17,Dammam Electronics Co 17,+966543157189,Abha
18,Saudi Home Goods 18,+966518684350,Buraidah
19,Mecca Wholesale Market 19,+966539209748,Yanbu
20,Saudi Home Goods 20,+966566198036,Hail
21,Khobar Accessories Trading 21,+966529687201,Medina
22,Jeddah Fashion Supply 22,+966549571718,Taif
23,Khobar Accessories Trading 23,+966591406582,Taif
24,Jeddah Fashion Supply 24,+966540412755,Tabuk
25,Khobar Accessories Trading 25,+966528615714,Tabuk
26,Mecca Wholesale Market 26,+966575322080,Riyadh
27,Riyadh Tech Trading 27,+966593775433,Abha
28,Dammam Electronics Co 28,+966562059617,Buraidah
29,Dammam Electronics Co 29,+966513657923,Hail
30,Jeddah Fashion Supply 30,+966535434526,Jeddah
31,Saudi Home Goods 31,+966517290594,Medina
32,Dammam Electronics Co 32,+966585176294,Abha
33,Khobar Accessories Trading 33,+966557318781,Tabuk
34,Riyadh Tech Trading 34,+966569198200,Jazan
35,Mecca Wholesale Market 35,+966562810346,Abha
36,Jeddah Fashion Supply 36,+966539713913,Jeddah
37,Khobar Accessories Trading 37,+966536064065,Jazan
38,Mecca Wholesale Market 38,+966572892283,Yanbu
39,Mecca Wholesale Market 39,+966559316559,Jeddah
40,Mecca Wholesale Market 40,+966558277833,Riyadh
41,Jeddah Fashion Supply 41,+966576854863,Riyadh
42,Jeddah Fashion Supply 42,+966582358677,Yanbu
